Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-September-2016,82.60,82.70,76.30,76.80,78.963667468979262168,2232297,8765,176270358.00,886243,39.70,6.40,-5.80
28-September-2016,81.50,82.25,81.25,81.90,81.789329075502719109,632560,2794,51736658.00,220176,34.81,1.00,0.40
27-September-2016,82.25,82.35,81.10,81.35,81.690806157907867106,509069,2434,41586257.00,211827,41.61,1.25,-0.90
26-September-2016,82.60,82.75,81.55,81.75,82.008284634742948984,567436,2976,46534453.00,248223,43.74,1.20,-0.85
23-September-2016,83.95,83.95,82.60,82.85,83.155327564495818669,619420,2545,51508073.00,257926,41.64,1.35,-1.10
22-September-2016,84.20,84.45,83.00,83.95,83.861366946035640959,723774,2960,60696677.00,261649,36.15,1.45,-0.25
21-September-2016,84.30,84.65,82.70,83.00,83.624185395744598302,824787,3307,68972141.00,295151,35.79,1.95,-1.30
20-September-2016,85.00,85.60,83.70,84.00,84.469437961433897812,1148729,4651,97032493.00,352961,30.73,1.90,-1.00
19-September-2016,81.50,84.80,81.30,84.55,83.673852139304529483,1710813,7019,143150314.00,491809,28.75,3.50,3.05
16-September-2016,81.50,82.40,80.05,80.95,81.167158825983951351,1747063,7996,141804140.00,687587,39.36,2.35,-0.55
15-September-2016,82.90,83.00,80.60,81.55,81.565209309242322849,2447718,12984,199648631.00,973791,39.78,2.40,-1.35
14-September-2016,84.00,84.85,83.50,84.55,84.434191952630198248,480306,2113,40554249.00,193916,40.37,1.35,0.55
12-September-2016,85.20,85.45,83.30,83.50,84.221605260692926736,1259758,5340,106098841.00,555585,44.10,2.15,-1.70
9-September-2016,87.85,88.70,86.30,87.25,87.383710261420736313,974368,3508,85143891.00,228248,23.43,2.40,-0.60
8-September-2016,89.00,89.65,87.50,87.85,88.037718639916978774,1113932,7404,98068032.00,360738,32.38,2.15,-1.15
7-September-2016,86.00,88.80,85.55,88.50,87.428593332846766363,1630471,5991,142549786.00,669433,41.06,3.25,2.50
6-September-2016,83.70,85.90,83.45,85.75,85.390642609862579349,2177402,4261,185929756.00,1425985,65.49,2.45,2.05
2-September-2016,83.90,83.90,82.35,83.25,83.143007456773679806,1258319,5211,104620426.00,467447,37.15,1.55,-0.65
1-September-2016,87.70,87.75,83.55,83.80,85.325606992586706239,1993311,7823,170080471.00,784125,39.34,4.20,-3.90
31-August-2016,88.80,89.30,87.15,87.70,88.532927343861418600,680149,2875,60215582.00,221852,32.62,2.15,-1.10
30-August-2016,88.85,88.85,88.00,88.40,88.437609567474831677,640587,2565,56651983.00,193428,30.20,0.85,-0.45
29-August-2016,87.95,89.10,86.95,87.85,88.129569061779956346,1185692,3873,104494525.00,367206,30.97,2.15,-0.10
26-August-2016,87.10,87.95,86.80,87.65,87.525152588711760039,646673,2583,56600153.00,195125,30.17,1.15,0.55
25-August-2016,89.00,89.40,85.95,86.60,87.862362944502349522,1373896,4912,120713749.00,582013,42.36,3.45,-2.40
24-August-2016,88.20,88.90,87.85,88.55,88.383737012905819641,1039686,3638,91891334.00,335970,32.31,1.05,0.35
23-August-2016,87.20,88.00,86.65,87.85,87.381686719828679309,887225,2675,77527217.00,475176,53.56,1.35,0.65
22-August-2016,87.30,87.40,86.40,87.20,86.886831987061359338,665294,2300,57805288.00,180504,27.13,1.00,-0.10
19-August-2016,88.00,88.00,86.75,87.10,87.224226898551914049,682349,2396,59517364.00,240672,35.27,1.25,-0.90
18-August-2016,87.00,88.50,86.90,87.75,87.736225557230851946,684456,4430,60051586.00,231706,33.85,1.60,0.75
17-August-2016,86.50,87.45,86.30,86.85,86.916375964730044764,591098,3821,51376096.00,201206,34.04,1.15,0.35
16-August-2016,87.70,87.70,86.10,86.70,86.647846850577641862,753408,2875,65281181.00,252201,33.47,1.60,-1.00
12-August-2016,87.50,88.20,86.50,86.95,87.408255135333854142,1088050,4321,95104552.00,326523,30.01,1.70,-0.55
11-August-2016,87.80,87.80,85.75,87.30,86.918967809476262059,909367,3752,79041241.00,253553,27.88,2.05,-0.50
10-August-2016,90.00,90.75,87.25,87.70,88.929781252807786756,1547037,5797,137577662.00,386045,24.95,3.50,-2.30
9-August-2016,89.60,89.80,88.30,89.35,89.111564300092153581,1077549,3712,96022077.00,306974,28.49,1.50,-0.25
8-August-2016,88.50,89.85,88.30,89.10,89.560734986598926048,3001252,4804,268794335.00,2143820,71.43,1.55,0.60
5-August-2016,86.50,88.20,86.50,88.05,87.077903145514315543,2665669,8642,232120867.00,1695721,63.61,1.70,1.55
4-August-2016,86.50,87.35,85.10,86.40,86.428773548497801512,1567669,6187,135491709.00,514488,32.82,2.25,-0.10
3-August-2016,88.25,88.40,85.50,85.75,86.370930178273460447,2077763,9284,179458323.00,721179,34.71,2.90,-2.50
2-August-2016,91.20,91.20,87.15,88.15,88.778242198982633088,3058287,12334,271509344.00,1268042,41.46,4.05,-3.05
1-August-2016,96.30,97.15,91.30,91.60,94.609774772848104365,4512289,12813,426906646.00,2479470,54.95,5.85,-4.70
29-July-2016,94.30,96.15,93.60,95.45,95.145543816231994415,1134648,3902,107956701.00,282539,24.90,2.55,1.15
28-July-2016,95.00,95.35,93.95,94.20,94.655820741852879477,907161,2824,85868069.00,333534,36.77,1.40,-0.80
27-July-2016,94.70,95.70,94.05,94.70,94.780417586348466926,984036,3949,93267343.00,308973,31.40,1.65,0.00
26-July-2016,96.80,96.80,94.25,94.55,95.411172046916767234,905689,3650,86412849.00,290085,32.03,2.55,-2.25
